FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433.16,0,520.66,176.42,3389.28,2005.17,0,2063,1023,66.85,33.15,2.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623.64,4185.33,2913.09,2025.25,0,0,0,0,2054,1023,66.75,33.25,-4.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,219.45,0,566.55,0,1507.46,721.46,0,2054,1013,66.97,33.03,1.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,212.28,0,147.73,0,2921.7,1623.64,0,2054,1013,66.97,33.03,-2.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331.04,3498.29,2818.43,2023.82,0,0,0,0,2051,1013,66.94,33.06,0.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,190.76,0,348.54,0,1480.21,532.13,0,2051,1037,66.42,33.58,1.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328.46,935.17,276.82,2036.73,905.05,2749.58,988.24,0,1040,1037,50.07,49.93,3.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498.86,3919.98,2861.46,2220.32,0,0,0,0,1040,1037,50.07,49.93,14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329.89,159.21,2736.67,1517.5,652.61,1692.49,2075.45,126.49,1022,1024,49.95,50.05,-12.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917.96,1801.5,1856,2497.14,721.46,0,209.41,0,48280,1024,97.92,2.08,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
